name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
Panfu,"[{'description': 'Young Internet GmbH', 'address1': 'WinsstraÃŸe 62/63', 'address2': '', 'zip_code': '10405', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5283111, 'longitude': 13.4120986}]",Young Internet GmbH,WinsstraÃŸe 62/63,,10405,Berlin,,DEU,52.5283111,13.4120986
Jakun Media,"[{'description': 'Jakun Media', 'address1': 'SchÃ¶nhauser Allee 113', 'address2': '', 'zip_code': '10439', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5849353, 'longitude': 10.1251434}]",Jakun Media,SchÃ¶nhauser Allee 113,,10439,Berlin,,DEU,53.5849353,10.1251434
Sauspiel,"[{'description': 'Berlin Office', 'address1': 'ReichenbergerstraÃŸe 113a', 'address2': '', 'zip_code': '10999', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.4943074, 'longitude': 13.434474}]",Berlin Office,ReichenbergerstraÃŸe 113a,,10999,Berlin,,DEU,52.4943074,13.434474
