name,lat,lon,type,city,category
Animalclava UG,52.511936,13.405353,"{'typepoint': {'type': 'Point', 'coordinates': [52.511936, 13.405353]}}",Berlin,pet grooming
Aquarien- und Terrarienverein Animals 2000,52.500833,13.408835,"{'typepoint': {'type': 'Point', 'coordinates': [52.500833, 13.408835]}}",Berlin,pet grooming
Kita The Animal House,52.511465,13.486379,"{'typepoint': {'type': 'Point', 'coordinates': [52.511465, 13.486379]}}",Berlin,pet grooming
Pfizer Animal Health Germany GmbH,52.505723,13.373544,"{'typepoint': {'type': 'Point', 'coordinates': [52.505723, 13.373544]}}",Berlin,pet grooming
Talking Animals Animation Collective,52.494157,13.415444,"{'typepoint': {'type': 'Point', 'coordinates': [52.494157, 13.415444]}}",Berlin,pet grooming
Talking Animals,52.502966,13.480591,"{'typepoint': {'type': 'Point', 'coordinates': [52.502966, 13.480591]}}",Berlin,pet grooming
Kindergärten NordOst Kindergarten The Animal House - Das Tierhäuschen,52.510864,13.486424,"{'typepoint': {'type': 'Point', 'coordinates': [52.510864, 13.486424]}}",Berlin,pet grooming
AMI - animal and more insurance angency GmbH,52.547625,13.307402,"{'typepoint': {'type': 'Point', 'coordinates': [52.547625, 13.307402]}}",Berlin,pet grooming
