name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
eyeOS,"[{'description': 'HQ', 'address1': 'La Rambla 140 4C', 'address2': '', 'zip_code': '08002', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.3854855, 'longitude': 2.1702872}]",HQ,La Rambla 140 4C,,08002,Barcelona,,ESP,41.3854855,2.1702872
Futurlink,"[{'description': '', 'address1': 'Passeig de Gracia 49', 'address2': '', 'zip_code': '08018', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.396553, 'longitude': 2.189241}]",,Passeig de Gracia 49,,08018,Barcelona,,ESP,41.396553,2.189241
vLex,"[{'description': 'VLEX HQ (Barcelona)', 'address1': 'Consell de Cent 334', 'address2': '', 'zip_code': 'E08009', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.392852, 'longitude': 2.168021}, {'description': 'VLEX North America', 'address1': '1840 Gateway Drive, Suite 200', 'address2': '', 'zip_code': '94404', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.55873, 'longitude': -122.27992}, {'description': 'VLEX Latin America', 'address1': 'Pte. Roque Saenz Pe̱a 995, 1D', 'address2': '', 'zip_code': '1035', 'city': 'Buenos Aires', 'state_code': None, 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",VLEX HQ (Barcelona),Consell de Cent 334,,E08009,Barcelona,,ESP,41.392852,2.168021
Nuroa,"[{'description': 'Offices', 'address1': 'Carrer de Bailen 7', 'address2': '', 'zip_code': '08010', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.3916792, 'longitude': 2.1775706}]",Offices,Carrer de Bailen 7,,08010,Barcelona,,ESP,41.3916792,2.1775706
3scale,"[{'description': '3scale SPAIN', 'address1': 'C/Napols 187, 8', 'address2': '', 'zip_code': '08013', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.406335, 'longitude': 2.192023}, {'description': '3scale USA', 'address1': '440 N Wolfe Rd', 'address2': '', 'zip_code': '94085', 'city': 'Sunnyvale', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': '3scale UK @TechHub London', 'address1': '76-80 City Rd', 'address2': '', 'zip_code': 'EC1Y 2BJ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",3scale SPAIN,"C/Napols 187, 8",,08013,Barcelona,,ESP,41.406335,2.192023
3scale,"[{'description': '3scale SPAIN', 'address1': 'C/Napols 187, 8', 'address2': '', 'zip_code': '08013', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.406335, 'longitude': 2.192023}, {'description': '3scale USA', 'address1': '440 N Wolfe Rd', 'address2': '', 'zip_code': '94085', 'city': 'Sunnyvale', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': '3scale UK @TechHub London', 'address1': '76-80 City Rd', 'address2': '', 'zip_code': 'EC1Y 2BJ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",3scale SPAIN,"C/Napols 187, 8",,08013,Barcelona,,ESP,41.406335,2.192023
Openbravo,"[{'description': 'Branch', 'address1': 'Pau Claris 138', 'address2': '', 'zip_code': '08009', 'city': 'Barcelona', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.3935324, 'longitude': 2.1660785}, {'description': 'HQ', 'address1': 'Ed. SLAN, Calle J', 'address2': 'Landaben', 'zip_code': '31012', 'city': 'Pamplona', 'state_code': None, 'country_code': 'ESP', 'latitude': None, 'longitude': None}]",Branch,Pau Claris 138,,08009,Barcelona,,ESP,41.3935324,2.1660785
Teambox,"[{'description': 'Barcelona Office', 'address1': 'Ronda Universitat 31', 'address2': '5o 4a', 'zip_code': '08007', 'city': 'Barcelona', 'state_code': 'CA', 'country_code': 'ESP', 'latitude': 41.4063346, 'longitude': 2.1920231}, {'description': 'US HQ', 'address1': '805 Veterans', 'address2': 'Suite 316', 'zip_code': '94063', 'city': 'Redwood City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",Barcelona Office,Ronda Universitat 31,5o 4a,08007,Barcelona,CA,ESP,41.4063346,2.1920231
